home_team,away_team,Year,rank_diff,points_diff,home_win_rate,away_win_rate,home_recent_win_rate,away_recent_win_rate,h2h_home_wins,h2h_draws,h2h_away_wins,stage,home_appearances,away_appearances,home_champion_count,away_champion_count,home_final_appearances,away_final_appearances,target
USA,Belgium,1930,14.0,-189.23000000000002,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
France,Mexico,1930,-9.0,114.88999999999987,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
Serbia,Brazil,1930,20.0,-277.68000000000006,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
Romania,Peru,1930,30.0,-126.32999999999993,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
Argentina,France,1930,-1.0,14.100000000000136,0.0,1.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0
Chile,Mexico,1930,16.0,-135.2800000000002,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0
Serbia,Bolivia,1930,-61.0,267.3399999999999,1.0,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0
USA,Paraguay,1930,-31.0,178.71000000000004,1.0,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0
Uruguay,Peru,1930,-9.0,77.70000000000005,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0
Chile,France,1930,25.0,-250.17000000000007,1.0,0.5,1.0,0.5,0,0,0,1,1,1,0,0,0,0,0
Argentina,Mexico,1930,-10.0,128.99,1.0,0.0,1.0,0.0,0,0,0,1,1,1,0,0,0,0,0
Brazil,Bolivia,1930,-81.0,545.02,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0
Paraguay,Belgium,1930,45.0,-367.94000000000005,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0
Uruguay,Romania,1930,-39.0,204.02999999999997,1.0,1.0,1.0,1.0,0,0,0,1,1,1,0,0,0,0,0
Argentina,Chile,1930,-26.0,264.2700000000002,1.0,1.0,1.0,1.0,0,0,0,1,1,1,0,0,0,0,0
Argentina,USA,1930,-13.0,146.4000000000001,1.0,1.0,1.0,1.0,0,0,0,4,1,1,0,0,0,0,0
Uruguay,Serbia,1930,-7.0,75.09000000000015,1.0,1.0,1.0,1.0,0,0,0,4,1,1,0,0,0,0,0
Uruguay,Argentina,1930,11.0,-135.17000000000007,1.0,1.0,1.0,1.0,0,0,0,5,1,1,0,0,0,0,0
Czechia,Romania,1934,-18.0,57.52999999999997,0.0,0.5,0.0,0.5,0,0,0,2,0,1,0,0,0,0,0
Hungary,Egypt,1934,-3.0,5.759999999999991,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0
Austria,France,1934,30.0,-266.8299999999999,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0,2,0,1,0,0,0,0,0
Switzerland,Netherlands,1934,7.0,-58.58999999999992,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0
Sweden,Argentina,1934,22.0,-220.55000000000018,0.0,0.8,0.0,0.8,0,0,0,2,0,1,0,0,0,1,0
Spain,Brazil,1934,6.0,-126.07999999999993,0.0,0.5,0.0,0.5,0,0,0,2,0,1,0,0,0,0,0
Germany,Belgium,1934,9.0,-166.5,0.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,0,0,0
Italy,USA,1934,-10.0,98.66000000000008,0.0,0.6666666666666666,0.0,0.6666666666666666,0,0,0,2,0,1,0,0,0,0,0
Austria,Hungary,1934,-2.0,0.75,1.0,1.0,1.0,1.0,0,0,0,3,1,1,0,0,0,0,0
Czechia,Switzerland,1934,20.0,-143.71000000000004,1.0,1.0,1.0,1.0,0,0,0,3,1,1,0,0,0,0,0
Italy,Spain,1934,-1.0,10.920000000000073,1.0,1.0,1.0,1.0,0,0,0,3,1,1,0,0,0,0,1
Germany,Sweden,1934,-14.0,96.88000000000011,1.0,1.0,1.0,1.0,0,0,0,3,1,1,0,0,0,0,0
Italy,Spain,1934,-1.0,10.920000000000073,0.5,0.5,0.5,0.5,0,1,0,3,1,1,0,0,0,0,0
Czechia,Germany,1934,24.0,-158.0,1.0,1.0,1.0,1.0,0,0,0,4,1,1,0,0,0,0,0
Italy,Austria,1934,-28.0,233.19000000000005,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0,0,4,1,1,0,0,0,0,0
Germany,Austria,1934,-23.0,157.26,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,5,1,1,0,0,0,0,0
Italy,Czechia,1934,-29.0,233.93000000000006,0.75,1.0,0.75,1.0,0,0,0,5,1,1,0,0,0,0,0
Switzerland,Germany,1938,4.0,-14.289999999999964,0.5,0.75,0.5,0.75,0,0,0,2,1,1,0,0,0,0,1
Italy,Norway,1938,-36.0,253.10000000000014,0.8,0.0,0.8,0.0,0,0,0,2,1,0,1,0,1,0,0
Cuba,Romania,1938,114.0,-456.0300000000001,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0,2,0,2,0,0,0,0,1
Hungary,Indonesia,1938,-116.0,458.29999999999995,0.5,0.0,0.5,0.0,0,0,0,2,1,0,0,0,0,0,0
France,Belgium,1938,2.0,-56.930000000000064,0.25,0.0,0.25,0.0,0,0,0,2,2,2,0,0,0,0,0
Brazil,Poland,1938,-25.0,292.71000000000004,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0,2,2,0,0,0,0,0,0
Czechia,Netherlands,1938,27.0,-202.29999999999995,0.75,0.0,0.75,0.0,0,0,0,2,1,1,0,0,1,0,0
Switzerland,Germany,1938,4.0,-14.289999999999964,0.3333333333333333,0.6,0.3333333333333333,0.6,0,1,0,2,2,2,0,0,0,0,0
Cuba,Romania,1938,114.0,-456.0300000000001,0.0,0.25,0.0,0.25,0,1,0,2,1,3,0,0,0,0,0
Sweden,Cuba,1938,-142.0,574.68,0.5,0.5,0.5,0.5,0,0,0,3,1,1,0,0,0,0,0
Brazil,Czechia,1938,-34.0,349.0899999999999,0.5,0.8,0.5,0.8,0,0,0,3,3,2,0,0,0,1,1
Hungary,Switzerland,1938,21.0,-143.72000000000003,0.6666666666666666,0.5,0.6666666666666666,0.5,0,0,0,3,2,2,0,0,0,0,0
Italy,France,1938,2.0,-33.63999999999987,0.8333333333333334,0.4,0.8333333333333334,0.4,0,0,0,3,2,3,1,0,1,0,0
Brazil,Czechia,1938,-34.0,349.0899999999999,0.4,0.6666666666666666,0.4,0.6666666666666666,0,1,0,3,3,2,0,0,0,1,0
Hungary,Sweden,1938,11.0,-61.12999999999988,0.75,0.6666666666666666,0.75,0.6666666666666666,0,0,0,4,2,2,0,0,0,0,0
Italy,Brazil,1938,5.0,-115.15999999999985,0.8571428571428571,0.5,0.8571428571428571,0.5,0,0,0,4,2,3,1,0,1,0,0
Brazil,Sweden,1938,-24.0,287.97,0.42857142857142855,0.5,0.42857142857142855,0.5,0,0,0,5,3,2,0,0,0,0,0
Italy,Hungary,1938,-30.0,233.94000000000005,0.875,0.8,0.875,0.8,0,0,0,5,2,2,1,0,1,0,0
Brazil,Mexico,1950,-12.0,196.40999999999985,0.5,0.0,0.6,0.0,0,0,0,1,3,1,0,0,0,0,0
Sweden,Italy,1950,19.0,-172.81000000000017,0.4,0.8888888888888888,0.3333333333333333,1.0,0,0,0,1,2,2,0,2,0,2,0
England,Chile,1950,-24.0,218.86000000000013,0.0,0.6666666666666666,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0
Spain,USA,1950,-9.0,87.74000000000001,0.3333333333333333,0.5,0.0,0.0,0,0,0,1,1,2,0,0,0,0,0
Serbia,Switzerland,1950,6.0,-72.30000000000018,0.6666666666666666,0.4,0.0,0.3333333333333333,0,0,0,1,1,2,0,0,0,0,0
Brazil,Switzerland,1950,-14.0,205.37999999999988,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.25,0,0,0,1,4,3,0,0,0,0,1
Serbia,Mexico,1950,8.0,-81.27000000000021,0.75,0.0,1.0,0.0,0,0,0,1,2,2,0,0,0,0,0
Spain,Chile,1950,-22.0,205.61000000000013,0.5,0.5,1.0,0.0,0,0,0,1,2,2,0,0,0,0,0
USA,England,1950,11.0,-100.99000000000001,0.4,1.0,0.0,1.0,0,0,0,1,3,1,0,0,0,0,0
Sweden,Paraguay,1950,-22.0,104.55999999999995,0.5,0.5,0.5,0.0,0,0,0,1,3,1,0,0,0,0,1
Brazil,Serbia,1950,-20.0,277.68000000000006,0.5,0.8,0.5714285714285714,1.0,0,0,1,1,4,2,0,0,0,0,0
Chile,USA,1950,13.0,-117.87000000000012,0.4,0.5,0.0,0.5,0,0,0,1,2,3,0,0,0,0,0
Italy,Paraguay,1950,-41.0,277.3700000000001,0.8,0.3333333333333333,0.8,0.0,0,0,0,1,3,2,2,0,2,0,0
Uruguay,Bolivia,1950,-68.0,342.43000000000006,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,1,0,0
Spain,England,1950,2.0,-13.25,0.6,0.5,1.0,0.5,0,0,0,1,2,1,0,0,0,0,0
Switzerland,Mexico,1950,2.0,-8.970000000000027,0.2857142857142857,0.0,0.2,0.0,0,0,0,1,3,2,0,0,0,0,0
Brazil,Sweden,1950,-24.0,287.97,0.5454545454545454,0.42857142857142855,0.625,0.4,1,0,0,5,4,3,0,0,0,0,0
Uruguay,Spain,1950,7.0,-76.50999999999999,1.0,0.6666666666666666,1.0,1.0,0,0,0,5,2,2,1,0,1,0,1
Brazil,Spain,1950,-6.0,126.07999999999993,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.75,0,0,1,5,4,2,0,0,0,0,0
Uruguay,Sweden,1950,-11.0,85.38000000000011,0.8333333333333334,0.375,0.5,0.3333333333333333,0,0,0,5,2,3,1,0,1,0,0
Sweden,Spain,1950,18.0,-161.8900000000001,0.3333333333333333,0.5,0.2857142857142857,0.6,0,0,0,5,3,2,0,0,0,0,0
Uruguay,Brazil,1950,13.0,-202.58999999999992,0.8571428571428571,0.6153846153846154,0.6666666666666666,0.7,0,0,0,5,2,4,1,0,1,0,0
Uruguay,Czechia,1954,-21.0,146.5,0.875,0.5714285714285714,0.75,0.0,0,0,0,1,2,2,2,0,2,1,0
